# x, TezTiz=5_km3, TezTiz=5_bm, TezTiz=2_km3, TezTiz=2_bm, TezTiz=1_km3, TezTiz=1_bm
1.8592, 0.007357, 0.003486, 0.022743, 0.009597, 0.014346, 0.000909
1.86224, 0.007158, 0.003308, 0.022477, 0.009375, 0.014132, 0.0007
1.86485, 0.006988, 0.003155, 0.02225, 0.009186, 0.013948, 0.000521
1.8956, 0.005009, 0.001256, 0.019614, 0.006986, 0.011806, -0.001633
1.89562, 0.005008, 0.001255, 0.019613, 0.006985, 0.011805, -0.001635
1.91811, 0.003589, -0.000156, 0.017729, 0.005387, 0.010262, -0.00331
1.93344, 0.002623, -0.001058, 0.016465, 0.004294, 0.009218, -0.004562
1.94811, 0.001691, -0.001908, 0.015271, 0.003234, 0.008224, -0.005965
1.97173, 0.000167, -0.003264, 0.013382, 0.001416, 0.006629, -0.009612
1.97287, 9.3e-05, -0.003329, 0.013291, 0.001322, 0.006551, -0.009598
2.04635, -0.004795, -0.007504, 0.007757, -0.004038, 0.001555, -0.00059
2.13974, -0.011153, -0.012771, 0.001739, -0.010454, -0.005106, 0.042428
